# Epoch[JD] RV[m/s] RV_err[m/s] InstrumentID
2457374.741237 -0.05 0.46 2
2457389.73406 -1.69 0.42 2
2457391.630082 -0.08 0.38 2
2457401.661617 -0.07 0.41 2
2457404.686875 -1.05 0.5 2
2457406.743784 1.22 0.55 2
2457407.6437 0.74 0.46 2
2457410.614981 -0.63 0.55 2
2457413.646367 1.36 0.46 2
2457416.636749 1.07 0.56 2
2457417.599163 -1.0 0.48 2
2457421.683929 0.87 0.41 2
2457422.644858 -1.11 0.42 2
2457446.559151 -6.02 0.41 2
2457447.556518 -4.76 0.47 2
2457448.535714 -5.6 0.45 2
2457449.526518 -7.36 0.43 2
2457450.532447 -5.84 0.44 2
2457451.544233 -6.76 0.41 2
2457453.565464 -5.64 0.39 2
2457456.537197 -2.54 0.48 2
2457470.570079 -4.95 0.53 2
2457473.498763 -4.38 0.45 2
2457475.508379 -2.09 0.87 2
2457476.500208 -3.34 0.44 2
2457479.541975 -0.75 0.43 2
2457486.517156 -2.67 0.51 2
2457487.49908 -1.37 0.49 2
2457488.503272 -1.49 0.45 2
2457489.517255 -1.57 0.52 2
2457501.49334 1.08 1.11 2
2457629.918876 4.41 0.46 2
2457630.918741 6.04 0.4 2
2457632.914122 3.82 0.4 2
2457641.909758 -4.04 0.51 2
2457643.893051 -1.01 0.58 2
2457647.9041 1.25 0.39 2
2457650.889839 1.73 0.42 2
2457651.87228 1.86 0.44 2
2457655.822253 5.62 0.42 2
2457656.852429 5.8 0.4 2
2457658.873253 7.21 0.39 2
2457659.845242 5.99 0.47 2
2457660.880291 5.18 0.5 2
